                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78902,                0.64491,                 1.1215,                0.86432,                   0.92,                0.90783,                0.43564,                 1.5616,                 1.0515,                  1.956,               0.006634,               0.006634,               0.006634
                     36,                0.81819,                0.65677,                 1.1307,                0.89473,                    0.8,                0.84284,                0.44744,                 1.6781,                 1.0639,                  1.963,               0.006535,               0.006535,               0.006535
                     37,                0.79409,                0.64278,                 1.1158,                 0.8631,                0.75672,                0.78517,                0.39252,                 1.7097,                  1.269,                 2.0855,               0.006436,               0.006436,               0.006436
                     38,                0.79496,                0.66819,                 1.1315,                 0.9591,                   0.72,                0.78875,                0.41883,                 1.6242,                 1.1067,                 2.0184,               0.006337,               0.006337,               0.006337
                     39,                0.75626,                0.63383,                 1.1246,                0.94349,                0.66834,                0.81041,                0.44026,                 1.4736,                 1.2925,                 1.7775,               0.006238,               0.006238,               0.006238
                     40,                0.73774,                0.58692,                 1.0805,                0.86215,                0.75083,                0.84352,                 0.5055,                 1.3879,                 1.0642,                 1.6563,               0.006139,               0.006139,               0.006139
                     41,                 0.7555,                 0.6352,                 1.0906,                0.94681,                0.71239,                0.78779,                0.51179,                  1.423,                 1.0379,                 1.7179,                0.00604,                0.00604,                0.00604
                     42,                0.76336,                0.60231,                 1.0864,                0.99687,                   0.84,                0.88643,                0.53869,                  1.368,                0.90513,                 1.5891,               0.005941,               0.005941,               0.005941
                     43,                0.73984,                0.58315,                 1.0856,                0.90999,                   0.84,                0.90423,                 0.5074,                 1.4553,                0.83743,                 1.8257,               0.005842,               0.005842,               0.005842
                     44,                0.76409,                0.60675,                  1.088,                0.82868,                    0.8,                0.85118,                0.45895,                 1.5989,                 1.0795,                 1.9736,               0.005743,               0.005743,               0.005743
                     45,                0.72254,                0.58177,                  1.093,                0.88743,                   0.68,                 0.8032,                0.42503,                 1.7012,                 1.2398,                  2.058,               0.005644,               0.005644,               0.005644
                     46,                0.71515,                0.55902,                 1.0781,                0.83668,                   0.68,                0.74974,                0.41982,                 1.4936,                 1.2834,                 1.8681,               0.005545,               0.005545,               0.005545
                     47,                0.70793,                0.57096,                 1.0635,                0.75675,                  0.747,                0.77397,                0.40381,                 1.5591,                 1.4071,                 1.8335,               0.005446,               0.005446,               0.005446
                     48,                0.69811,                0.56967,                 1.0552,                0.92524,                   0.76,                0.88079,                0.47101,                 1.5337,                 1.0819,                 1.8682,               0.005347,               0.005347,               0.005347
                     49,                0.75166,                  0.595,                 1.0828,                0.91658,                0.87899,                0.91558,                0.52766,                  1.351,                0.89824,                 1.7626,               0.005248,               0.005248,               0.005248
                     50,                0.70528,                0.54649,                 1.0628,                0.91959,                0.91503,                0.93715,                0.52246,                 1.4532,                 0.9746,                 1.8406,               0.005149,               0.005149,               0.005149
                     51,                0.69119,                0.55188,                 1.0602,                0.91662,                0.87948,                 0.9582,                0.50434,                 1.4877,                0.88353,                 1.8575,                0.00505,                0.00505,                0.00505
                     52,                0.69864,                0.55033,                 1.0535,                0.79967,                0.95808,                0.93684,                  0.482,                  1.556,                0.85731,                 1.9374,               0.004951,               0.004951,               0.004951
                     53,                0.68581,                0.53721,                 1.0695,                0.86851,                   0.84,                 0.8802,                 0.4727,                 1.5759,                0.96916,                 1.9396,               0.004852,               0.004852,               0.004852
                     54,                0.69938,                0.55983,                 1.0557,                0.77199,                   0.84,                0.81692,                0.42739,                 1.5837,                 1.0339,                 2.0469,               0.004753,               0.004753,               0.004753
                     55,                0.65387,                 0.5106,                 1.0356,                0.73573,                    0.8,                 0.8162,                0.43681,                 1.6357,                 1.0418,                 2.0195,               0.004654,               0.004654,               0.004654
                     56,                0.67148,                0.51988,                 1.0384,                0.77745,                   0.68,                0.77904,                 0.4385,                  1.637,                 1.1238,                 1.9448,               0.004555,               0.004555,               0.004555
                     57,                0.67212,                0.54194,                 1.0545,                0.74017,                0.68382,                0.77093,                 0.4757,                 1.5571,                 1.0276,                 1.8491,               0.004456,               0.004456,               0.004456
                     58,                 0.6664,                0.51973,                 1.0456,                0.76066,                    0.8,                0.77486,                0.47695,                 1.6502,                0.97267,                 1.9528,               0.004357,               0.004357,               0.004357
                     59,                0.64265,                0.50882,                 1.0257,                0.79979,                0.79901,                0.82339,                0.51098,                 1.5341,                0.91759,                 1.9599,               0.004258,               0.004258,               0.004258
                     60,                 0.6371,                0.49818,                 1.0514,                 0.9519,                0.79186,                0.88063,                0.52355,                 1.4863,                0.90119,                 1.8372,               0.004159,               0.004159,               0.004159
